feature_idx,target_set_id,target_set_label,node_type,target_abbrev,metapath,n_targets,target_ids
0,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rG<rGdA,1,UBERON:0001013
1,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rG<rGeA,1,UBERON:0001013
2,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rG<rGuA,1,UBERON:0001013
3,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGaDlA,1,UBERON:0001013
4,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGcGdA,1,UBERON:0001013
5,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGcGeA,1,UBERON:0001013
6,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGcGuA,1,UBERON:0001013
7,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGdA,1,UBERON:0001013
8,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGdDlA,1,UBERON:0001013
9,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGeA,1,UBERON:0001013
10,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGiGdA,1,UBERON:0001013
11,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGiGeA,1,UBERON:0001013
12,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGiGuA,1,UBERON:0001013
13,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGr>GdA,1,UBERON:0001013
14,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGr>GeA,1,UBERON:0001013
15,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGr>GuA,1,UBERON:0001013
16,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGuA,1,UBERON:0001013
17,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,G<rGuDlA,1,UBERON:0001013
18,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDaGdA,1,UBERON:0001013
19,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDaGeA,1,UBERON:0001013
20,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDaGuA,1,UBERON:0001013
21,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDdGdA,1,UBERON:0001013
22,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDdGeA,1,UBERON:0001013
23,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDdGuA,1,UBERON:0001013
24,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDlA,1,UBERON:0001013
25,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDrDlA,1,UBERON:0001013
26,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDuGdA,1,UBERON:0001013
27,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDuGeA,1,UBERON:0001013
28,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GaDuGuA,1,UBERON:0001013
29,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCbGdA,1,UBERON:0001013
30,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCbGeA,1,UBERON:0001013
31,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCbGuA,1,UBERON:0001013
32,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCdGdA,1,UBERON:0001013
33,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCdGeA,1,UBERON:0001013
34,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCdGuA,1,UBERON:0001013
35,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCpDlA,1,UBERON:0001013
36,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCtDlA,1,UBERON:0001013
37,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCuGdA,1,UBERON:0001013
38,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCuGeA,1,UBERON:0001013
39,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GbCuGuA,1,UBERON:0001013
40,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcG<rGdA,1,UBERON:0001013
41,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcG<rGeA,1,UBERON:0001013
42,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcG<rGuA,1,UBERON:0001013
43,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGaDlA,1,UBERON:0001013
44,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGcGdA,1,UBERON:0001013
45,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGcGeA,1,UBERON:0001013
46,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGcGuA,1,UBERON:0001013
47,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGdA,1,UBERON:0001013
48,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGdDlA,1,UBERON:0001013
49,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGeA,1,UBERON:0001013
50,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGiGdA,1,UBERON:0001013
51,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGiGeA,1,UBERON:0001013
52,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGiGuA,1,UBERON:0001013
53,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGr>GdA,1,UBERON:0001013
54,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGr>GeA,1,UBERON:0001013
55,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGr>GuA,1,UBERON:0001013
56,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGuA,1,UBERON:0001013
57,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GcGuDlA,1,UBERON:0001013
58,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAdGdA,1,UBERON:0001013
59,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAdGeA,1,UBERON:0001013
60,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAdGuA,1,UBERON:0001013
61,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAeGdA,1,UBERON:0001013
62,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAeGeA,1,UBERON:0001013
63,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAeGuA,1,UBERON:0001013
64,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAlDlA,1,UBERON:0001013
65,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAuGdA,1,UBERON:0001013
66,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAuGeA,1,UBERON:0001013
67,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdAuGuA,1,UBERON:0001013
68,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCbGdA,1,UBERON:0001013
69,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCbGeA,1,UBERON:0001013
70,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCbGuA,1,UBERON:0001013
71,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCdGdA,1,UBERON:0001013
72,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCdGeA,1,UBERON:0001013
73,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCdGuA,1,UBERON:0001013
74,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCpDlA,1,UBERON:0001013
75,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCtDlA,1,UBERON:0001013
76,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCuGdA,1,UBERON:0001013
77,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCuGeA,1,UBERON:0001013
78,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdCuGuA,1,UBERON:0001013
79,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDaGdA,1,UBERON:0001013
80,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDaGeA,1,UBERON:0001013
81,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDaGuA,1,UBERON:0001013
82,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDdGdA,1,UBERON:0001013
83,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDdGeA,1,UBERON:0001013
84,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDdGuA,1,UBERON:0001013
85,adipose_tissue,Adipose tissue anatomy terms,Anatomy,A,GdDlA,1,UBERON:0001013
