lv_id,gene_identifier,gene_symbol,loading,rank,gene_row_idx
LV246,6319,SCD,6.67206,1.0,4287
LV246,55902,ACSS2,6.25851,2.0,11063
LV246,57678,GPAM,5.71408,3.0,11691
LV246,84649,DGAT2,4.73835,4.0,13637
LV246,47,ACLY,3.70868,5.0,34
LV246,2819,GPD1,3.346,6.0,1882
LV246,4597,MVD,3.3206,7.0,3040
LV246,2194,FASN,2.91524,8.0,1530
LV246,4023,LPL,2.85828,9.0,2723
LV246,2180,ACSL1,2.6822,10.0,1518
LV246,4047,LSS,2.536,11.0,2737
LV246,9415,FADS2,2.50468,12.0,6286
LV246,10555,AGPAT2,2.23776,13.0,7217
LV246,31,ACACA,2.13828,14.0,22
LV246,4199,ME1,2.10737,15.0,2857
LV246,60481,ELOVL5,2.02285,16.0,11865
LV246,51144,HSD17B12,2.00711,17.0,9616
LV246,56301,SLC7A10,1.96845,18.0,11194
LV246,50486,G0S2,1.90078,19.0,9426
LV246,6720,SREBF1,1.78339,20.0,4618
LV246,948,CD36,1.76303,21.0,668
LV246,5091,PC,1.74443,22.0,3401
LV246,83401,ELOVL3,1.67662,23.0,13170
LV246,23175,LPIN1,1.67347,24.0,8100
LV246,1528,CYB5A,1.64139,25.0,1080
LV246,79071,ELOVL6,1.61783,26.0,12360
LV246,8322,FZD4,1.61269,27.0,5488
LV246,32,ACACB,1.54911,28.0,23
LV246,2632,GBE1,1.53927,29.0,1749
LV246,3157,HMGCS1,1.50785,30.0,2149
LV246,48,ACO1,1.48064,31.0,35
LV246,6576,SLC25A1,1.47897,32.0,4495
LV246,10162,LPCAT3,1.47519,33.0,6903
LV246,50814,NSDHL,1.43142,34.0,9467
LV57,3458,IFNG,7.98375,1.0,2339
LV57,1493,CTLA4,7.91872,2.0,1054
LV57,59067,IL21,7.44229,3.0,11824
LV57,3586,IL10,6.93003,4.0,2393
LV57,3578,IL9,6.73414,5.0,2390
LV57,3605,IL17A,5.90265,6.0,2409
LV57,944,TNFSF8,5.7588,7.0,664
LV57,959,CD40LG,5.3571,8.0,679
LV57,79413,ZBED2,5.05431,9.0,12452
LV57,7124,TNF,4.78883,10.0,4919
LV57,3559,IL2RA,4.61786,11.0,2374
LV57,3565,IL4,4.1282,12.0,2379
LV57,3595,IL12RB2,3.81727,13.0,2401
LV57,29851,ICOS,3.65675,14.0,9294
LV57,3002,GZMB,3.58304,15.0,2037
LV57,6351,CCL4,3.2623,16.0,4315
LV57,3567,IL5,3.06523,17.0,2381
LV57,3562,IL3,2.94204,18.0,2377
LV57,3662,IRF4,2.88428,19.0,2452
LV57,9447,AIM2,2.86914,20.0,6309
LV57,30009,TBX21,2.6673,21.0,9385
LV57,6504,SLAMF1,2.5293,22.0,4429
LV57,1437,CSF2,2.50075,23.0,1009
LV57,4049,LTA,2.38387,24.0,2739
LV57,940,CD28,2.24256,25.0,660
LV57,8740,TNFSF14,2.0929,26.0,5804
LV57,6348,CCL3,1.91808,27.0,4313
LV57,3976,LIF,1.91633,28.0,2689
LV57,356,FASLG,1.8833,29.0,252
LV57,29909,GPR171,1.86083,30.0,9316
LV57,29969,MDFIC,1.80439,31.0,9361
LV57,3604,TNFRSF9,1.78926,32.0,2408
LV57,923,CD6,1.74684,33.0,649
LV57,1233,CCR4,1.70626,34.0,867
LV603,3579,CXCR2,5.32046,1.0,2391
LV603,2215,FCGR3B,5.12837,2.0,1549
LV603,8794,TNFRSF10C,5.03546,3.0,5840
LV603,8875,VNN2,4.68087,4.0,5908
LV603,84243,ZDHHC18,4.49598,5.0,13453
LV603,4332,MNDA,4.48851,6.0,2948
LV603,3577,CXCR1,4.44206,7.0,2389
LV603,53829,P2RY13,4.4044,8.0,10040
LV603,55350,VNN3,4.25318,9.0,10740
LV603,2358,FPR2,4.18756,10.0,1649
LV603,1084,CEACAM3,4.13948,11.0,777
LV603,728,C5AR1,4.10199,12.0,505
LV603,57210,SLC45A4,4.06891,13.0,11460
LV603,366,AQP9,3.93992,14.0,261
LV603,1232,CCR3,3.88353,15.0,866
LV603,80325,ABTB1,3.74526,16.0,12934
LV603,1441,CSF3R,3.73565,17.0,1013
LV603,2357,FPR1,3.72002,18.0,1648
LV603,64174,DPEP2,3.65613,19.0,12021
LV603,10326,SIRPB1,3.63225,20.0,7040
LV603,51363,CHST15,3.60172,21.0,9777
LV603,11027,LILRA2,3.55755,22.0,7578
LV603,146225,CMTM2,3.55602,23.0,15566
LV603,4688,NCF2,3.55225,24.0,3117
LV603,1439,CSF2RB,3.52228,25.0,1011
LV603,4084,MXD1,3.50045,26.0,2768
LV603,23214,XPO6,3.41562,27.0,8134
LV603,64411,ARAP3,3.39722,28.0,12080
LV603,2214,FCGR3A,3.38482,29.0,1548
LV603,144423,GLT1D1,3.38211,30.0,15509
LV603,3772,KCNJ15,3.38201,31.0,2544
LV603,115727,RASGRP4,3.34216,32.0,14553
LV603,27202,C5AR2,3.34163,33.0,9076
LV603,65220,NADK,3.31088,34.0,12261
