lv_id,target_set_id,target_set_label,node_type,feature_idx,metapath,real_mean,n_real_genes
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,0,G<rG<rGdA,3.120694160461426,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,1,G<rG<rGeA,2.6943302154541016,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,2,G<rG<rGuA,3.378865957260132,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,3,G<rGaDlA,1.0638221502304077,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,4,G<rGcGdA,2.855402708053589,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,5,G<rGcGeA,2.6275429725646973,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,6,G<rGcGuA,2.762984037399292,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,7,G<rGdA,2.471741199493408,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,8,G<rGdDlA,0.703220009803772,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,9,G<rGeA,2.6384847164154053,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,10,G<rGiGdA,2.8364417552948,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,11,G<rGiGeA,2.523183822631836,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,12,G<rGiGuA,3.047755479812622,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,13,G<rGr>GdA,3.0557546615600586,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,14,G<rGr>GeA,2.725971221923828,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,15,G<rGr>GuA,3.339733600616455,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,16,G<rGuA,2.770029306411743,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,17,G<rGuDlA,0.9759760499000549,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,18,GaDaGdA,2.4775874614715576,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,19,GaDaGeA,2.2733170986175537,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,20,GaDaGuA,2.920286178588867,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,21,GaDdGdA,2.0605199337005615,34
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,22,GaDdGeA,1.909865379333496,34
