lv_id,target_set_id,target_set_label,node_type,target_id,target_name,target_position,gene_identifier,gene_symbol,loading,gene_rank,source_idx,target_idx,metapath,dwpc
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,705,BYSL,3.643346969278473,1.0,487,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,552,AVPR1A,3.3612001611561704,2.0,381,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,119,ADD2,3.0524750392734226,3.0,80,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,813,CALU,2.9933676800021054,4.0,565,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,196,AHR,2.9532207718034686,5.0,135,58,GaDlA,3.636953200558444
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,213,ALB,2.7894070969236693,6.0,147,58,GaDlA,4.176374482962494
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,797,CALCB,2.7369754263926636,7.0,557,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,529,ATP6V1E1,2.736213733864723,8.0,367,58,GaDlA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,705,BYSL,3.643346969278473,1.0,487,58,GiGdA,4.472296868134303
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,552,AVPR1A,3.3612001611561704,2.0,381,58,GiGdA,0.0
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,UBERON:0001013,adipose tissue,58,119,ADD2,3.0524750392734226,3.0,80,58,GiGdA,3.191078310512516
