lv_id,target_set_id,target_set_label,node_type,metapath,metapath_g_orientation,target_id,target_name,gene_identifier,gene_symbol,pair_rank,path_rank,path_score,path_nodes_ids,path_nodes_names
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDaG,GaDlA,UBERON:0001013,adipose tissue,213,ALB,1,1,0.3246679154750989,UBERON:0001013|DOID:14221|213,adipose tissue|metabolic syndrome X|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDaG,GaDlA,UBERON:0001013,adipose tissue,213,ALB,1,2,0.27901593935858265,UBERON:0001013|DOID:1936|213,adipose tissue|atherosclerosis|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDaG,GaDlA,UBERON:0001013,adipose tissue,213,ALB,1,3,0.2455652029819223,UBERON:0001013|DOID:9352|213,adipose tissue|type 2 diabetes mellitus|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDaG,GaDlA,UBERON:0001013,adipose tissue,196,AHR,2,1,0.27901593935858265,UBERON:0001013|DOID:1936|196,adipose tissue|atherosclerosis|AHR
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDaG,GaDlA,UBERON:0001013,adipose tissue,196,AHR,2,2,0.20744432576282612,UBERON:0001013|DOID:1612|196,adipose tissue|breast cancer|AHR
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,213,ALB,1,1,1.0,UBERON:0001013|23315|213,adipose tissue|SLC9A8|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,213,ALB,1,2,0.8408964152537146,UBERON:0001013|23036|213,adipose tissue|ZNF292|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,213,ALB,1,3,0.7071067811865475,UBERON:0001013|8911|213,adipose tissue|CACNA1I|ALB
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,705,BYSL,2,1,0.5773502691896258,UBERON:0001013|7216|705,adipose tissue|TRO|BYSL
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,705,BYSL,2,2,0.4172261448611506,UBERON:0001013|55536|705,adipose tissue|CDCA7L|BYSL
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,705,BYSL,2,3,0.3723909894939824,UBERON:0001013|2066|705,adipose tissue|ERBB4|BYSL
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AdGiG,GiGdA,UBERON:0001013,adipose tissue,119,ADD2,3,1,0.48549177170732344,UBERON:0001013|5803|119,adipose tissue|PTPRZ1|ADD2
LV246,adipose_tissue,Adipose tissue anatomy terms,Anatomy,AlDuG,GuDlA,UBERON:0001013,adipose tissue,813,CALU,1,1,0.2514866859365871,UBERON:0001013|DOID:1612|813,adipose tissue|breast cancer|CALU
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,133,ADM,1,1,0.14648226435696482,DOID:1459|UBERON:0002046|133,hypothyroidism|thyroid gland|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,133,ADM,1,2,0.1372507583739288,DOID:1459|UBERON:0002037|133,hypothyroidism|cerebellum|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,133,ADM,1,3,0.12661486384237994,DOID:1459|UBERON:0000473|133,hypothyroidism|testis|ADM
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,910,CD1B,2,1,0.14648226435696482,DOID:1459|UBERON:0002046|910,hypothyroidism|thyroid gland|CD1B
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,910,CD1B,2,2,0.1372507583739288,DOID:1459|UBERON:0002037|910,hypothyroidism|cerebellum|CD1B
LV57,hypothyroidism,Hypothyroidism disease term,Disease,DlAdG,GdAlD,DOID:1459,hypothyroidism,910,CD1B,2,3,0.12661486384237994,DOID:1459|UBERON:0000473|910,hypothyroidism|testis|CD1B
