gene_row_idx,gene_identifier,degree,degree_bin
0,1,48,2
1,2,438,9
2,9,106,5
3,10,51,3
4,12,1039,9
5,13,66,3
6,14,298,8
7,15,106,5
8,16,574,9
9,18,464,9
10,19,383,9
11,20,432,9
12,21,133,6
13,22,131,6
14,23,277,8
15,24,91,4
16,25,1497,9
17,26,108,5
18,27,547,9
19,28,48,2
20,29,199,7
21,30,354,9
22,31,301,8
23,32,296,8
24,33,129,6
25,34,200,7
26,35,231,8
27,36,139,6
28,37,310,8
29,38,223,8
30,39,540,9
31,40,272,8
32,41,129,6
33,43,215,8
34,47,543,9
35,48,148,6
36,49,86,4
37,50,370,9
38,51,156,7
39,52,125,6
40,53,113,5
41,54,232,8
42,55,102,5
43,56,40,2
44,58,461,9
45,59,206,7
46,60,985,9
47,70,253,8
48,71,492,9
49,72,116,5
50,81,451,9
51,86,313,8
52,87,470,9
53,88,501,9
54,89,174,7
55,90,497,9
56,91,269,8
57,92,265,8
58,93,478,9
59,94,269,8
60,95,124,6
61,97,49,2
62,98,80,4
63,100,441,9
64,101,276,8
65,102,406,9
66,103,300,8
67,104,101,5
68,105,30,2
69,107,251,8
70,108,245,8
71,109,379,9
72,111,319,8
73,112,297,8
74,113,232,8
75,114,191,7
76,115,263,8
77,116,328,9
78,117,173,7
79,118,252,8
80,119,115,5
81,120,130,6
82,123,326,8
83,124,59,3
84,125,122,6
85,126,66,3
86,127,103,5
87,128,433,9
88,130,83,4
89,131,106,5
90,132,231,8
91,133,577,9
92,134,366,9
93,135,173,7
94,136,234,8
95,140,64,3
96,141,42,2
97,142,939,9
98,143,162,7
99,146,150,6
100,147,254,8
101,148,314,8
102,150,464,9
103,151,164,7
104,152,289,8
105,153,269,8
106,154,859,9
107,155,144,6
108,156,370,9
109,157,105,5
110,158,200,7
111,159,167,7
112,160,574,9
113,161,390,9
114,162,225,8
115,163,339,9
116,164,305,8
117,165,133,6
118,166,470,9
119,167,37,2
120,173,40,2
121,174,174,7
122,175,97,5
123,176,138,6
124,177,406,9
125,178,563,9
126,181,66,3
127,182,547,9
128,183,705,9
129,185,289,8
130,186,552,9
131,187,94,5
132,189,122,6
133,190,170,7
134,191,277,8
135,196,405,9
136,197,107,5
137,199,249,8
138,202,110,5
139,203,206,7
140,204,235,8
141,205,224,8
142,207,1877,9
143,208,594,9
144,210,225,8
145,211,481,9
146,212,142,6
147,213,724,9
148,214,151,6
149,215,125,6
150,216,262,8
151,217,188,7
152,218,143,6
153,219,100,5
154,220,227,8
155,221,189,7
156,222,70,3
157,223,195,7
158,224,170,7
159,225,84,4
160,226,582,9
161,229,230,8
162,230,598,9
163,231,490,9
164,238,278,8
165,239,194,7
166,240,190,7
167,241,147,6
168,242,84,4
169,246,174,7
170,247,118,6
171,248,29,2
172,249,113,5
173,250,105,5
174,251,85,4
175,257,40,2
176,258,18,1
177,259,153,7
178,262,207,8
179,265,50,2
180,266,9,1
181,267,224,8
182,268,101,5
183,269,84,4
184,270,82,4
185,271,178,7
186,272,153,7
187,273,178,7
188,274,225,8
189,275,138,6
190,276,45,2
191,277,48,2
192,278,42,2
193,279,46,2
194,280,50,2
195,283,307,8
196,284,307,8
197,285,175,7
198,286,202,7
199,287,383,9
200,288,298,8
201,290,234,8
202,291,645,9
203,292,673,9
204,293,772,9
205,301,798,9
206,302,803,9
207,306,252,8
208,307,279,8
209,308,454,9
210,309,333,9
211,310,808,9
212,311,180,7
213,312,109,5
214,313,52,3
215,314,78,4
216,316,141,6
217,317,189,7
218,318,80,4
219,319,63,3
220,320,115,5
221,321,112,5
222,322,290,8
223,323,186,7
224,324,1041,9
225,325,145,6
226,326,195,7
227,327,160,7
228,328,697,9
229,329,560,9
230,330,386,9
231,331,401,9
232,332,747,9
233,333,310,8
234,334,214,8
235,335,617,9
236,336,303,8
237,337,258,8
238,338,372,9
239,339,131,6
240,341,212,8
241,343,51,3
242,344,182,7
243,345,266,8
244,346,25,1
245,347,270,8
246,348,872,9
247,350,245,8
248,351,4340,9
249,353,289,8
250,354,100,5
251,355,885,9
252,356,468,9
253,357,167,7
254,358,539,9
255,359,105,5
256,360,189,7
257,361,131,6
258,362,112,5
259,363,64,3
260,364,70,3
261,366,130,6
262,367,811,9
263,368,92,4
264,369,394,9
265,372,170,7
266,373,470,9
267,374,187,7
268,375,481,9
269,377,205,7
270,378,417,9
271,379,151,6
272,381,123,6
273,382,543,9
274,383,412,9
275,384,211,8
276,387,1237,9
277,388,444,9
278,389,235,8
279,390,316,8
280,391,249,8
281,392,520,9
282,393,245,8
283,394,135,6
284,395,152,7
285,396,302,8
286,397,184,7
287,398,94,5
288,399,102,5
289,400,368,9
290,401,173,7
291,402,217,8
292,403,246,8
293,405,312,8
294,406,415,9
295,407,76,4
296,408,958,9
297,409,1010,9
298,410,85,4
299,411,127,6
300,412,106,5
301,414,80,4
302,415,86,4
303,416,38,2
304,417,43,2
305,419,68,3
306,420,26,1
307,421,55,3
308,427,164,7
309,429,293,8
310,430,499,9
311,432,67,3
312,433,103,5
313,434,40,2
314,435,285,8
315,438,52,3
316,439,283,8
317,440,274,8
318,443,44,2
319,444,289,8
320,445,492,9
321,460,68,3
322,462,160,7
323,463,110,5
324,466,612,9
325,467,372,9
326,468,441,9
327,471,232,8
328,472,746,9
329,473,196,7
330,474,117,5
331,475,189,7
332,476,443,9
333,477,360,9
334,478,356,9
335,479,129,6
336,480,140,6
337,481,897,9
338,482,231,8
339,483,213,8
340,486,159,7
341,487,181,7
342,488,428,9
343,489,157,7
344,490,258,8
345,491,270,8
346,492,89,4
347,493,337,9
348,495,128,6
349,496,87,4
350,498,485,9
351,501,385,9
352,506,437,9
353,509,458,9
354,513,396,9
355,514,170,7
356,515,215,8
357,516,226,8
358,517,211,8
359,518,155,7
360,521,223,8
361,522,223,8
362,523,304,8
363,525,157,7
364,526,228,8
365,527,461,9
366,528,227,8
367,529,418,9
368,533,660,9
369,534,118,6
370,535,300,8
371,537,353,9
372,538,400,9
373,539,258,8
374,540,170,7
375,545,508,9
376,546,288,8
377,547,122,6
378,549,106,5
379,550,165,7
380,551,305,8
381,552,212,8
382,553,73,4
383,554,152,7
384,558,448,9
385,563,161,7
386,566,183,7
387,567,410,9
388,570,78,4
389,571,174,7
390,572,894,9
391,573,183,7
392,574,0,0
393,575,75,4
394,576,188,7
395,577,100,5
396,578,389,9
397,579,395,9
398,580,591,9
399,581,735,9
400,582,175,7
401,583,268,8
402,585,377,9
403,586,128,6
404,587,128,6
405,590,186,7
406,593,177,7
407,594,99,5
408,595,761,9
409,596,1121,9
410,597,180,7
411,598,568,9
412,599,196,7
413,602,328,9
414,604,627,9
415,605,23,1
416,607,110,5
417,608,74,4
418,610,114,5
419,611,58,3
420,613,392,9
421,617,136,6
422,622,250,8
423,623,117,5
424,624,280,8
425,627,254,8
426,629,149,6
427,631,56,3
428,632,153,7
429,633,230,8
430,634,175,7
431,635,116,5
432,636,182,7
433,637,574,9
434,638,186,7
435,639,318,8
436,640,146,6
