lv_id,gene_identifier,gene_symbol,loading,rank,gene_row_idx,degree_bin,slot_in_bin,slot_global
LV246,797,CALCB,2.7369754263926636,7.0,557,3,0,0
LV246,119,ADD2,3.0524750392734226,3.0,80,5,0,1
LV246,705,BYSL,3.643346969278473,1.0,487,8,0,2
LV246,552,AVPR1A,3.3612001611561704,2.0,381,8,1,3
LV246,813,CALU,2.9933676800021054,4.0,565,9,0,4
LV246,196,AHR,2.9532207718034686,5.0,135,9,1,5
LV246,213,ALB,2.7894070969236693,6.0,147,9,2,6
LV246,529,ATP6V1E1,2.736213733864723,8.0,367,9,3,7
LV57,421,ARVCF,2.729678159686854,7.0,307,3,0,0
LV57,407,ARR3,3.4218385369545183,2.0,295,4,0,1
LV57,970,CD70,2.922222155200057,4.0,689,4,1,2
LV57,910,CD1B,2.8041128452118675,5.0,637,5,0,3
LV57,771,CA12,2.762224626907292,6.0,536,7,0,4
LV57,267,AMFR,4.048894768378313,1.0,181,8,0,5
LV57,133,ADM,3.202122127348306,3.0,91,9,0,6
LV57,813,CALU,2.6944209425962455,8.0,565,9,1,7
LV603,222,ALDH3B2,3.071139507657893,3.0,156,3,0,0
LV603,225,ABCD2,2.661082373702184,8.0,159,4,0,1
LV603,187,APLNR,2.740132165299634,7.0,131,5,0,2
LV603,732,C8B,2.9492971060959277,5.0,509,7,0,3
LV603,728,C5AR1,2.96183998514846,4.0,505,8,0,4
LV603,262,AMD1,2.7628529070721184,6.0,178,8,1,5
LV603,675,BRCA2,4.1650101550124745,1.0,469,9,0,6
LV603,842,CASP9,3.0863457620566757,2.0,594,9,1,7
