n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata
10,8,0.9636363636363635,0.9030303030303028,0.6666666666666666,0.4,0.6044373837363368,1.5583703909644935,10,L=2,17.5,1
23,7,0.9426877470355731,0.24308300395256918,0.75,0.2,1.0579145758961412,2.47683685999068,10,L>=3,18.5,2
10,8,0.9757575757575757,0.9030303030303028,1.0,0.4,0.28804049449729385,1.8467895685074134,30,L=2,17.5,1
23,7,0.9604743083003953,0.24308300395256918,1.0,0.2,0.5111245486193898,2.580637769207159,30,L>=3,18.5,2
10,8,0.9878787878787878,0.9030303030303028,1.0,0.4,0.1543713495124286,1.8156422689442568,100,L=2,17.5,1
24,6,0.9799999999999999,0.25565217391304346,0.75,0.2,0.2733147347357947,2.952395300123447,100,L>=3,18.5,2
10,8,0.9878787878787878,0.9030303030303028,1.0,0.4,0.07463801967550321,2.248726355347307,300,L=2,17.5,1
24,6,0.9939130434782607,0.25565217391304346,1.0,0.2,0.12511614278360828,2.0187719714993424,300,L>=3,18.5,2
10,8,0.9999999999999999,0.9030303030303028,1.0,0.4,0.03889004833218834,2.005462073419543,1000,L=2,17.5,1
24,6,0.9956521739130434,0.25565217391304346,1.0,0.2,0.03786977664083768,2.157489282374415,1000,L>=3,18.5,2
10,8,0.9999999999999999,0.9030303030303028,1.0,0.4,0.01982776227119898,1.2842777305526267,3000,L=2,17.5,1
24,6,0.9999999999999999,0.25565217391304346,1.0,0.2,0.02848864402578477,2.6244795902792353,3000,L>=3,18.5,2
10,8,0.9999999999999999,0.9030303030303028,1.0,0.4,0.010955215059638368,1.5375386498728454,10000,L=2,17.5,1
24,6,0.9999999999999999,0.25565217391304346,1.0,0.2,0.03935885085768376,1.9014828318883839,10000,L>=3,18.5,2
