n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata
10,8,0.9515151515151514,0.8060606060606059,1.0,0.6,0.5766674561467995,1.9643135783484147,10,L=2,7.0,5
23,7,0.9387351778656127,0.5622529644268774,0.75,0.9333333333333333,1.1544399900296556,2.19173114562104,10,L>=3,8.0,4
10,8,0.9636363636363635,0.8060606060606059,1.0,0.6,0.2640788124132465,2.5580266959773987,30,L=2,7.0,5
24,6,0.9982608695652172,0.588695652173913,0.9333333333333333,0.9333333333333333,0.26987275792938203,1.882841440321498,30,L>=3,8.0,4
11,7,0.9727272727272729,0.7818181818181819,1.0,0.6,0.5358562712187969,2.018919776547797,100,L=2,7.0,5
24,6,0.9913043478260868,0.588695652173913,0.9333333333333333,0.9333333333333333,0.16493934274052946,2.4282696913367796,100,L>=3,8.0,4
12,6,0.9930069930069931,0.7552447552447553,1.0,0.6,0.19678248615280647,2.6774512067033833,300,L=2,7.0,5
24,6,0.9913043478260868,0.588695652173913,0.9333333333333333,0.9333333333333333,0.09064034217545003,1.9835511324722788,300,L>=3,8.0,4
12,6,1.0,0.7552447552447553,1.0,0.6,0.19658683736230642,2.389918449937013,1000,L=2,7.0,5
24,6,0.9991304347826085,0.588695652173913,1.0,0.9333333333333333,0.0488982188217717,2.2508219841315142,1000,L>=3,8.0,4
12,6,1.0,0.7552447552447553,1.0,0.6,0.15295557146074157,2.345522138686808,3000,L=2,7.0,5
24,6,0.9991304347826085,0.588695652173913,1.0,0.9333333333333333,0.045710282840459526,3.18955204756891,3000,L>=3,8.0,4
12,6,1.0,0.7552447552447553,1.0,0.6,0.030706542682241045,2.334023744753554,10000,L=2,7.0,5
24,6,0.9991304347826085,0.588695652173913,1.0,0.9333333333333333,0.021069674028926788,2.276984534724506,10000,L>=3,8.0,4
