n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata
10,8,0.9878787878787878,0.7333333333333332,1.0,0.6,0.7178857066217745,1.6756462305897393,10,L=2,10.0,2
24,6,0.9808695652173912,0.11739130434782606,0.8,0.26666666666666666,0.9029320885659957,1.8633204377617647,10,L>=3,11.0,2
10,8,0.9999999999999999,0.7333333333333332,1.0,0.6,0.3307953021092864,1.6068568173520161,30,L=2,10.0,2
24,6,0.9913043478260868,0.11739130434782606,1.0,0.26666666666666666,0.33116851077900367,1.6663946155228242,30,L>=3,11.0,2
10,8,0.9878787878787878,0.7333333333333332,1.0,0.6,0.09462112182661853,3.014511244547791,100,L=2,10.0,2
24,6,0.9930434782608695,0.11739130434782606,1.0,0.26666666666666666,0.21160766613810122,2.081527155962135,100,L>=3,11.0,2
10,8,0.9999999999999999,0.7333333333333332,1.0,0.6,0.09438864660215807,1.8158721408066631,300,L=2,10.0,2
24,6,0.994782608695652,0.11739130434782606,1.0,0.26666666666666666,0.09269591152958356,2.1374221995759526,300,L>=3,11.0,2
10,8,0.9999999999999999,0.7333333333333332,1.0,0.6,0.048658522361631706,1.600896172314352,1000,L=2,10.0,2
24,6,0.9999999999999999,0.11739130434782606,1.0,0.26666666666666666,0.07810663669932749,2.144742374427587,1000,L>=3,11.0,2
10,8,0.9999999999999999,0.7333333333333332,1.0,0.6,0.017901950540920586,2.5709366131736213,3000,L=2,10.0,2
24,6,0.9991304347826085,0.11739130434782606,1.0,0.26666666666666666,0.0328727264353188,2.70304900433813,3000,L>=3,11.0,2
10,8,0.9999999999999999,0.7333333333333332,1.0,0.6,0.010423239913809113,1.7701816194513718,10000,L=2,10.0,2
24,6,0.9999999999999999,0.11739130434782606,1.0,0.26666666666666666,0.018044977404088725,1.710951552707174,10000,L>=3,11.0,2
