n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata
8,10,0.9523809523809524,0.6428571428571429,1.0,0.5714285714285714,0.3890212069980312,1.162132215396054,10,L=2,1.0,1
23,7,0.9130434782608695,0.7440711462450592,1.0,0.7142857142857143,0.8859178772315339,2.094762997778465,10,L>=3,1.0,1
9,9,0.9500000000000001,0.6833333333333333,1.0,0.5,0.5150513162962085,2.551782560217341,30,L=2,1.0,1
24,6,0.9695652173913042,0.766086956521739,1.0,0.7142857142857143,0.28324334080926616,1.3787110332054586,30,L>=3,1.0,1
10,8,0.9878787878787878,0.6484848484848483,1.0,0.5,0.2737621542860442,1.6601245820150066,100,L=2,1.0,1
24,6,0.9826086956521738,0.766086956521739,1.0,0.7142857142857143,0.17596445931649618,1.9554436474394938,100,L>=3,1.0,1
10,8,0.9878787878787878,0.6484848484848483,1.0,0.5,0.12285638409920463,1.767228974405749,300,L=2,1.0,1
24,6,0.9643478260869565,0.766086956521739,1.0,0.7142857142857143,0.19238334691923864,2.905038290668562,300,L>=3,1.0,1
10,8,0.9999999999999999,0.6484848484848483,1.0,0.5,0.04738738881282645,1.262106064786937,1000,L=2,1.0,1
24,6,0.9921739130434782,0.766086956521739,1.0,0.7142857142857143,0.09156172786619632,2.29978186771183,1000,L>=3,1.0,1
10,8,0.9999999999999999,0.6484848484848483,1.0,0.5,0.06746926294304623,1.9228671954766563,3000,L=2,1.0,1
24,6,0.9991304347826085,0.766086956521739,1.0,0.7142857142857143,0.09804505688421583,2.042722780493621,3000,L>=3,1.0,1
10,8,0.9999999999999999,0.6484848484848483,1.0,0.5,0.01823599917264951,1.2457831393880932,10000,L=2,1.0,1
24,6,0.9999999999999999,0.766086956521739,1.0,0.7142857142857143,0.03017896684707,2.179940982401377,10000,L>=3,1.0,1
