n,n_excluded_nan,spearman_rho_analytical_vs_mc_highb,spearman_rho_analytical_vs_original,jaccard_selected_analytical_vs_mc_highb,jaccard_selected_analytical_vs_original,max_abs_relative_std_error,max_abs_mean_diff_in_mc_se,b,length_bucket,median_active_strata,min_active_strata,strategy
8,10,0.9523809523809524,0.6428571428571429,1.0,0.5714285714285714,0.3890212069980312,1.162132215396054,10,L=2,1.0,1,promiscuity
23,7,0.9130434782608696,0.7440711462450592,1.0,0.7142857142857143,0.8859178772315339,2.094762997778465,10,L>=3,1.0,1,promiscuity
9,9,0.95,0.6833333333333333,1.0,0.5,0.5150513162962085,2.551782560217341,30,L=2,1.0,1,promiscuity
24,6,0.9695652173913042,0.766086956521739,1.0,0.7142857142857143,0.2832433408092661,1.3787110332054586,30,L>=3,1.0,1,promiscuity
10,8,0.9878787878787878,0.6484848484848483,1.0,0.5,0.2737621542860442,1.6601245820150066,100,L=2,1.0,1,promiscuity
24,6,0.9826086956521738,0.766086956521739,1.0,0.7142857142857143,0.1759644593164961,1.9554436474394936,100,L>=3,1.0,1,promiscuity
10,8,0.9878787878787878,0.6484848484848483,1.0,0.5,0.1228563840992046,1.767228974405749,300,L=2,1.0,1,promiscuity
24,6,0.9643478260869564,0.766086956521739,1.0,0.7142857142857143,0.1923833469192386,2.905038290668562,300,L>=3,1.0,1,promiscuity
10,8,1.0,0.6484848484848483,1.0,0.5,0.0473873888128264,1.262106064786937,1000,L=2,1.0,1,promiscuity
24,6,0.9921739130434782,0.766086956521739,1.0,0.7142857142857143,0.0915617278661963,2.29978186771183,1000,L>=3,1.0,1,promiscuity
10,8,1.0,0.6484848484848483,1.0,0.5,0.0674692629430462,1.9228671954766563,3000,L=2,1.0,1,promiscuity
24,6,0.9991304347826084,0.766086956521739,1.0,0.7142857142857143,0.0980450568842158,2.042722780493621,3000,L>=3,1.0,1,promiscuity
10,8,1.0,0.6484848484848483,1.0,0.5,0.0182359991726495,1.2457831393880932,10000,L=2,1.0,1,promiscuity
24,6,1.0,0.766086956521739,1.0,0.7142857142857143,0.03017896684707,2.179940982401377,10000,L>=3,1.0,1,promiscuity
10,8,0.9515151515151514,0.8060606060606059,1.0,0.6,0.5766674561467995,1.9643135783484147,10,L=2,7.0,5,metaedge_degree
23,7,0.9387351778656128,0.5622529644268774,0.75,0.9333333333333332,1.1544399900296556,2.19173114562104,10,L>=3,8.0,4,metaedge_degree
10,8,0.9636363636363636,0.8060606060606059,1.0,0.6,0.2640788124132465,2.5580266959773987,30,L=2,7.0,5,metaedge_degree
24,6,0.9982608695652172,0.588695652173913,0.9333333333333332,0.9333333333333332,0.269872757929382,1.882841440321498,30,L>=3,8.0,4,metaedge_degree
11,7,0.9727272727272728,0.7818181818181819,1.0,0.6,0.5358562712187969,2.018919776547797,100,L=2,7.0,5,metaedge_degree
24,6,0.9913043478260868,0.588695652173913,0.9333333333333332,0.9333333333333332,0.1649393427405294,2.42826969133678,100,L>=3,8.0,4,metaedge_degree
12,6,0.9930069930069932,0.7552447552447553,1.0,0.6,0.1967824861528064,2.6774512067033838,300,L=2,7.0,5,metaedge_degree
24,6,0.9913043478260868,0.588695652173913,0.9333333333333332,0.9333333333333332,0.09064034217545,1.9835511324722788,300,L>=3,8.0,4,metaedge_degree
12,6,1.0,0.7552447552447553,1.0,0.6,0.1965868373623064,2.389918449937013,1000,L=2,7.0,5,metaedge_degree
